Code;Name;Modellarten;Status
10600;"Bodenordnungsmaßnahmen 
Mit dieser Fortführung werden Veränderungen am Flurstück aufgrund rechtlicher Vorschriften (z.B. Flurbereinigungsgesetz) durchgeführt, die eine Änderung in der Form des Grundstücks zur Folge haben. Es werden die Objektinformationen von Flurstücken zur Verfügung gestellt, die bei der Übernahme der Bodenordnungsmaßnahme ins Grundbuch benötigt werden. Diese Fortführung ist nicht die Rechtsgrundlage zur Berichtigung des Grundbuchs. Übermittelt werden: • Flurstücksinformationen zur Fortführung des Bestandsverzeichnisses und optional • Daten zur Fortführung der Abteilungen I bis III.";DLKM;Veraltet
10600;"Bodenordnungsmaßnahmen 
Mit dieser Fortführung werden Veränderungen am Flurstück aufgrund rechtlicher Vorschriften (z.B. Flurbereinigungsgesetz) durchgeführt, die eine Änderung in der Form des Grundstücks zur Folge haben. Es werden die Objektinformationen von Flurstücken zur Verfügung gestellt, die bei der Übernahme der Bodenordnungsmaßnahme ins Grundbuch benötigt werden. Diese Fortführung ist nicht die Rechtsgrundlage zur Berichtigung des Grundbuchs. Übermittelt werden: • Flurstücksinformationen zur Fortführung des Bestandsverzeichnisses und optional • Daten zur Fortführung der Abteilungen I bis III.";DLKM;Gültig
10601;Verfahren nach dem Flurbereinigungsgesetz;DLKM;Gültig
10602;Verfahren nach dem Baugesetzbuch;DLKM;Gültig
10611;Flurbereinigung;DLKM;Gültig
10612;Flurbereinigung-freiwilliger Landtausch;DLKM;Veraltet
10612;Flurbereinigung - freiwilliger Landtausch;DLKM;Gültig
10613;Änderung auf Grund des Landwirtschaftsanpassungsgesetzes;DLKM;Veraltet
10613;Änderung aufgrund des Landwirtschaftsanpassungsgesetzes;DLKM;Gültig
10614;Änderung auf Grund des Eisenbahnneuordnungsgesetzes;DLKM;Veraltet
10614;Änderung aufgrund des Eisenbahnneuordnungsgesetzes;DLKM;Gültig
10615;"Übernahme von wichtigen Terminen im Ablauf eines Bodenordnungsverfahrens 
Dient zur Mitteilung des Zeitpunkts der Rechtskraft usw.";DLKM;Gültig
10616;Vermessung der Verfahrensgrenze des Flurbereinigungsgebietes;DLKM;Gültig
10619;Übernahme von Flurbereinigungsergebnissen;DLKM;Gültig
10621;Umlegung;DLKM;Gültig
10622;Umlegung nach § 76 BauGB;DLKM;Gültig
10623;Vereinfachte Umlegung;DLKM;Gültig
10700;Katastererneuerung;DLKM;Gültig
10701;Katastererneuerung - vereinfachte Neuvermessung;DLKM;Gültig
10702;"Erneuerung der Lagekoordinaten 
Anlassart für Neubestimmung durch Neuberechnung mit vorhandenen Messwerten. Teile der Liegenschaftskarte, für die zwar geschlossen qualifizierte Katastervermessungen und neubestimmte AP vorliegen, für die aber Lagekoordinaten noch nicht oder nur unzureichend bestimmt worden sind, werden mit den vorhandenen Vermessungsergebnissen Lagekoordinaten im System des Festpunktfeldes berechnet und datenverarbeitungsgerecht gespeichert.";DLKM;Gültig
10703;Veränderung aufgrund der Qualitätsverbesserung;DLKM;Gültig
10704;Qualitätssicherung und Datenpflege;DLKM;Gültig
10801;Zuschreibung eines Flurstückes (Gebietsreform);DLKM;Gültig
10802;Abschreibung eines Flurstückes (Gebietsreform);DLKM;Gültig
10900;Grenzfeststellung;DLKM;Gültig
10901;Grenzvermessung;DLKM;Gültig
10902;Grenzwiederherstellung;DLKM;Gültig
10903;Grenzbestimmung;DLKM;Gültig
10904;"Grenzabmarkung 
Anlassart für die Grenzabmarkung für die Behebung von Abmarkungsmängeln.";DLKM;Gültig
20000;Verzeichnisse außerhalb des Grundbuches fortführen;DLKM;Veraltet
20000;"Verzeichnisse außerhalb des Grundbuches fortführen 
Hiermit sind die Buchungen von noch nicht gebuchten sowie buchungsfreien Flurstücken sowie sonstige Angaben gemeint, die aufgrund von Vereinbarungen in besonderen Verzeichnissen des Grundbuchs geführt werden.";DLKM;Gültig
20100;Katasterliche Buchungsdaten fortführen;DLKM;Gültig
20101;Katasterliche Buchung eines noch nicht im Grundbuch gebuchten Grundstücks oder Rechts (Erwerber- oder Pseudoblatt) (2);DLKM;Veraltet
20101;Katasterliche Buchung eines noch nicht im Grundbuch gebuchten Grundstücks oder Rechts (Erwerber- oder Pseudoblatt);DLKM;Gültig
20102;Katasterliche Buchung eines buchungsfreien Grundstücks;DLKM;Gültig
20200;Namensnummer von katasterlichen Buchungsstellen verändern;DLKM;Gültig
20201;Katasterliche Namensnummer und Rechtsgemeinschaft fortführen;DLKM;Gültig
20300;Katasterliche Personendaten fortführen;DLKM;Veraltet
